"","X","Plant_ID","Long","Lat"
"1",27,"Aune001",-6.479339981452,37.022460037842
"2",28,"Aune002",-6.479490017518,37.024249993265
"3",29,"Aune003",-6.479390021414,37.024410003796
"4",30,"Aune004",-6.450540013611,36.990630012006
"5",31,"Aune005",-6.478470023721,37.026070039719
"6",32,"Aune006",-6.479590013623,37.023450024426
"7",33,"Aune007",-6.479752035812,37.023433009163
"8",34,"Aune008",-6.479772991,37.02345296
"9",35,"Aune009",-6.479896037,37.02350803
"10",36,"Aune010",-6.479979018,37.02355103
"11",37,"Aune011",-6.479787994,37.02373601
"12",38,"Aune012",-6.479814984,37.02365404
"13",39,"Aune013",-6.479508961,37.02409401
"14",40,"Aune014",-6.005762033,37.41174303
"15",41,"Aune015",-6.441492001,37.019995
"16",42,"Aune016",-6.441177009,37.01973097
"17",43,"Aune017",-6.441177009,37.01973097
"18",44,"Aune018",-6.479859995,37.02383199
"19",45,"Aune019",-6.479714988,37.02375202
