id_plant,obs_h,n
301,18.600555555555555,9
302,19.526944444444442,9
303,19.75138888888889,9
304,18.864722222222223,9
305,18.8525,9
306,19.785555555555558,9
307,20.01527777777778,9
308,18.28527777777778,9
309,18.748055555555556,9
310,19.640555555555554,9
311,17.921388888888888,9
312,19.621666666666666,9
313,19.28472222222222,9
314,20.1875,9
315,19.214722222222225,9
316,19.97361111111111,9
317,19.76888888888889,9
318,20.180555555555557,9
319,18.435555555555556,9
320,19.880277777777778,9
321,18.006944444444446,9
322,17.930833333333332,8
323,20.30611111111111,9
324,20.03,9
325,20.066111111111113,9
326,19.43888888888889,9
327,20.140555555555554,9
329,17.264166666666668,9
330,19.15361111111111,9
331,18.621388888888887,9
332,19.2475,9
334,18.0225,9
335,18.71472222222222,9
336,19.229166666666668,9
337,20.183611111111112,9
338,19.2075,9
339,17.03333333333333,9
340,18.021944444444443,8
382,18.585277777777776,9
383,18.19,9
